Tgl Struk,Qty
2021-09-19,1
2021-09-19,1
2021-09-19,1
2021-09-19,1
2021-09-19,2
2021-09-19,1
2021-09-19,2
2021-09-20,2
2021-09-20,1
2021-09-20,1
2021-09-20,1
2021-09-20,2
2021-09-20,1
2021-09-20,1
2021-09-20,1
2021-09-20,2
2021-09-20,1
2021-09-20,1
2021-09-20,1
2021-09-21,1
2021-09-21,1
2021-09-21,1
2021-09-21,2
2021-09-21,1
2021-09-21,2
2021-09-21,1
2021-09-21,1
2021-09-21,1
2021-09-21,4
2021-09-21,1
2021-09-21,2
2021-09-21,1
2021-09-21,1
2021-09-21,1
2021-09-21,1
2021-09-21,2
2021-09-21,1
2021-09-21,1
2021-09-21,1
2021-09-21,1
2021-09-21,1
2021-09-21,1
2021-09-21,1
2021-09-21,1
2021-09-21,1
2021-09-22,1
2021-09-22,1
2021-09-22,1
2021-09-22,1
2021-09-22,1
2021-09-22,1
2021-09-22,1
2021-09-22,1
2021-09-22,1
2021-09-22,2
2021-09-22,1
2021-09-22,1
2021-09-22,1
2021-09-22,3
2021-09-22,1
2021-09-22,4
2021-09-23,1
2021-09-23,1
2021-09-23,1
2021-09-23,1
2021-09-23,1
2021-09-23,1
2021-09-23,2
2021-09-23,1
2021-09-23,2
2021-09-23,3
2021-09-23,1
2021-09-23,1
2021-09-23,1
2021-09-23,1
2021-09-23,1
2021-09-23,1
2021-09-24,1
2021-09-24,2
2021-09-24,2
2021-09-24,1
2021-09-24,1
2021-09-24,1
2021-09-24,1
2021-09-24,1
2021-09-24,2
2021-09-24,1
2021-09-24,1
2021-09-24,2
2021-09-24,2
2021-09-24,1
2021-09-24,1
2021-09-24,1
2021-09-25,1
2021-09-25,1
2021-09-25,1
2021-09-25,1
2021-09-25,2
2021-09-25,1
2021-09-25,1
2021-09-25,1
2021-09-25,1
2021-09-25,5
2021-09-25,1
2021-09-25,2
2021-09-25,2
2021-09-25,1
2021-09-25,1
2021-09-25,1
2021-09-25,2
2021-09-25,1
2021-09-25,2
2021-09-25,1
2021-09-25,2
2021-09-25,1
2021-09-26,1
2021-09-26,1
2021-09-26,1
2021-09-26,1
